#      index      mass[g]      radius[cm]      temperature[K]      density[g/cm^3]      velocity[cm/s]      ye(initial)      entropy[kb/baryon]      expansion_timescale[s]
3000
   120     1.840164607e+30     2.797599200e+08     1.000000000e+09     5.946346288e+04     1.678559520e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   121     1.854783747e+30     2.800100033e+08     1.000000000e+09     5.930428058e+04     1.680060020e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   122     1.869389835e+30     2.802600867e+08     1.000000000e+09     5.914566595e+04     1.681560520e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   123     1.883982896e+30     2.805101701e+08     1.000000000e+09     5.898761645e+04     1.683061020e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   124     1.898562953e+30     2.807602534e+08     1.000000000e+09     5.883012957e+04     1.684561521e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   125     1.913130028e+30     2.810103368e+08     1.000000000e+09     5.867320281e+04     1.686062021e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   126     1.927684146e+30     2.812604201e+08     1.000000000e+09     5.851683368e+04     1.687562521e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   127     1.942225328e+30     2.815105035e+08     1.000000000e+09     5.836101971e+04     1.689063021e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   128     1.956753598e+30     2.817605869e+08     1.000000000e+09     5.820575843e+04     1.690563521e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   129     1.971268979e+30     2.820106702e+08     1.000000000e+09     5.805104740e+04     1.692064021e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   130     1.985771493e+30     2.822607536e+08     1.000000000e+09     5.789688418e+04     1.693564522e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   131     2.000261164e+30     2.825108369e+08     1.000000000e+09     5.774326635e+04     1.695065022e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   132     2.014738015e+30     2.827609203e+08     1.000000000e+09     5.759019149e+04     1.696565522e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   133     2.029202067e+30     2.830110037e+08     1.000000000e+09     5.743765722e+04     1.698066022e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   134     2.043653343e+30     2.832610870e+08     1.000000000e+09     5.728566115e+04     1.699566522e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   135     2.058091867e+30     2.835111704e+08     1.000000000e+09     5.713420090e+04     1.701067022e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   136     2.072517660e+30     2.837612538e+08     1.000000000e+09     5.698327412e+04     1.702567523e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   137     2.086930744e+30     2.840113371e+08     1.000000000e+09     5.683287846e+04     1.704068023e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   138     2.101331144e+30     2.842614205e+08     1.000000000e+09     5.668301159e+04     1.705568523e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   139     2.115718879e+30     2.845115038e+08     1.000000000e+09     5.653367118e+04     1.707069023e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   140     2.130093974e+30     2.847615872e+08     1.000000000e+09     5.638485492e+04     1.708569523e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   141     2.144456450e+30     2.850116706e+08     1.000000000e+09     5.623656052e+04     1.710070023e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   142     2.158806328e+30     2.852617539e+08     1.000000000e+09     5.608878569e+04     1.711570524e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   143     2.173143633e+30     2.855118373e+08     1.000000000e+09     5.594152816e+04     1.713071024e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   144     2.187468384e+30     2.857619206e+08     1.000000000e+09     5.579478567e+04     1.714571524e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   145     2.201780605e+30     2.860120040e+08     1.000000000e+09     5.564855596e+04     1.716072024e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   146     2.216080316e+30     2.862620874e+08     1.000000000e+09     5.550283680e+04     1.717572524e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   147     2.230367541e+30     2.865121707e+08     1.000000000e+09     5.535762597e+04     1.719073024e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   148     2.244642300e+30     2.867622541e+08     1.000000000e+09     5.521292124e+04     1.720573525e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   149     2.258904616e+30     2.870123374e+08     1.000000000e+09     5.506872041e+04     1.722074025e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   150     2.273154511e+30     2.872624208e+08     1.000000000e+09     5.492502130e+04     1.723574525e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   151     2.287392005e+30     2.875125042e+08     1.000000000e+09     5.478182172e+04     1.725075025e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   152     2.301617120e+30     2.877625875e+08     1.000000000e+09     5.463911951e+04     1.726575525e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   153     2.315829878e+30     2.880126709e+08     1.000000000e+09     5.449691250e+04     1.728076025e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   154     2.330030301e+30     2.882627543e+08     1.000000000e+09     5.435519856e+04     1.729576526e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   155     2.344218409e+30     2.885128376e+08     1.000000000e+09     5.421397554e+04     1.731077026e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   156     2.358394224e+30     2.887629210e+08     1.000000000e+09     5.407324132e+04     1.732577526e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
